section id,recording id,timestamp [ns],pupil diameter [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079265472885,4.317629814147949,-28.713306427001953,6.7759552001953125,-38.13615417480469,34.1403923034668,9.03305435180664,-35.36595153808594,0.17013545334339142,0.1545671820640564,0.9732229709625244,-0.10855309665203094,0.14559119939804077,0.9833714962005615
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079270481885,4.316429138183594,-28.73828887939453,6.717552185058594,-38.28970718383789,34.11077880859375,9.06314468383789,-35.34416580200195,0.16468209028244019,0.15083657205104828,0.9747451543807983,-0.11115968972444534,0.1420164406299591,0.9836030006408691
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079275472885,4.285651683807373,-28.710765838623047,6.809135437011719,-38.094932556152344,34.161865234375,8.946231842041016,-35.42743682861328,0.16108691692352295,0.14649784564971924,0.9760068655014038,-0.11566055566072464,0.13873596489429474,0.9835522174835205
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079280476885,4.300235748291016,-28.802902221679688,6.736869812011719,-38.20195770263672,34.05683135986328,9.019989013671875,-35.40913009643555,0.153774693608284,0.12504325807094574,0.9801620244979858,-0.12568546831607819,0.11799991130828857,0.985027551651001
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079285473885,4.217628002166748,-28.82691192626953,6.970947265625,-38.18929672241211,34.04704666137695,9.197303771972656,-35.48667907714844,0.15606391429901123,0.09299859404563904,0.9833592176437378,-0.13341479003429413,0.08579312264919281,0.9873399138450623
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079290475885,4.26783561706543,-28.760929107666016,6.72406005859375,-38.51624298095703,34.102176666259766,9.136329650878906,-35.62895202636719,0.14132283627986908,0.08119012415409088,0.9866285920143127,-0.14082416892051697,0.07354262471199036,0.987299382686615
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079295473885,4.284701824188232,-28.75188446044922,6.6723480224609375,-38.636844635009766,34.105308532714844,9.088455200195312,-35.71319580078125,0.13200542330741882,0.05869656428694725,0.989509642124176,-0.15059122443199158,0.04848660156130791,0.9874063730239868
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079300473885,4.299051284790039,-28.75922393798828,6.6072235107421875,-38.710323333740234,34.09081268310547,9.024890899658203,-35.859371185302734,0.13189584016799927,0.050886061042547226,0.9899566173553467,-0.14742116630077362,0.03882155194878578,0.9883116483688354
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079305473885,4.2715044021606445,-28.65770721435547,6.424530029296875,-38.93163299560547,34.1822395324707,8.905570983886719,-35.78067398071289,0.11639109998941422,0.04236355423927307,0.9922995567321777,-0.16367590427398682,0.03002605028450489,0.9860571026802063
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079310598885,4.219534397125244,-28.608482360839844,6.299152374267578,-38.90523910522461,34.22829818725586,8.810455322265625,-35.70392990112305,0.10894933342933655,0.03663657233119011,0.9933719635009766,-0.169423907995224,0.023667706176638603,0.9852590560913086
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079315608885,4.24921178817749,-28.58863067626953,6.45098876953125,-38.93967056274414,34.25444030761719,8.87664794921875,-35.80768585205078,0.10679195821285248,0.02294120378792286,0.994016706943512,-0.17207802832126617,0.009829438291490078,0.9850342869758606
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079320598885,4.2617902755737305,-28.665695190429688,6.60662841796875,-38.90749740600586,34.18434524536133,9.012283325195312,-35.794403076171875,0.11047317087650299,0.007483011111617088,0.9938509464263916,-0.16997388005256653,-0.0041846358217298985,0.9854397177696228
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079325598885,4.288309574127197,-28.715042114257812,6.713417053222656,-39.00684356689453,34.12558364868164,9.126823425292969,-35.792823791503906,0.10257521271705627,-0.006683105602860451,0.9947028160095215,-0.16916732490062714,-0.017835313454270363,0.9854259490966797
